HP-ICF-RATE-LIMIT-MIB,1.3.6.1.4.1.11.2.14.10.2.14,hpicfRateLimitMIB,""200607071833Z"  -- JULY 07, 2006",READ-ONLY,"Hewlett Packard Company 8000 Foothills Blvd. Roseville, CA 95747"
HP-ICF-RATE-LIMIT-MIB,1.3.6.1.4.1.11.2.14.10.2.14.1,hpicfRateLimitObjects,"OBJECT IDENTIFIER",READ-ONLY,
HP-ICF-RATE-LIMIT-MIB,1.3.6.1.4.1.11.2.14.10.2.14.1.1,hpicfICMPRateLimitObjects,"OBJECT IDENTIFIER",READ-ONLY,
HP-ICF-RATE-LIMIT-MIB,1.3.6.1.4.1.11.2.14.10.2.14.1.1.1,hpICMPRateLimitConfig,"OBJECT IDENTIFIER",READ-ONLY,
HP-ICF-RATE-LIMIT-MIB,1.3.6.1.4.1.11.2.14.10.2.14.1.1.1.1,hpICMPRateLimitPortConfigTable,"SEQUENCE OF HPICMPRATELIMITPORTCONFIGENTRY",NOT-ACCESSIBLE,"A table that contains configuration objects on ICMP rate limit on a per interface basis."
HP-ICF-RATE-LIMIT-MIB,1.3.6.1.4.1.11.2.14.10.2.14.1.1.1.1.1,hpICMPRateLimitPortConfigEntry,SEQUENCE,NOT-ACCESSIBLE,"Entry that contains configuration objects on ICMP rate limit on a per interface basis"
HP-ICF-RATE-LIMIT-MIB,1.3.6.1.4.1.11.2.14.10.2.14.1.1.1.1.1.1,hpICMPRateLimitPortConfigIndex,INTEGER32,NOT-ACCESSIBLE,"The interface index associated with this entry."
HP-ICF-RATE-LIMIT-MIB,1.3.6.1.4.1.11.2.14.10.2.14.1.1.1.1.1.2,hpICMPRateLimitPortState,INTEGER,READ-WRITE,"This object indicates whether ICMP rate limiting is enabled on the corresponding port."
HP-ICF-RATE-LIMIT-MIB,1.3.6.1.4.1.11.2.14.10.2.14.1.1.1.1.1.3,hpICMPRateLimitPortPrct,INTEGER32,READ-WRITE,"This indicates the percent of ICMP rate limit on the port. The value of this object must be interpreted under the context of hpICMPRateLimitPortState. A value of 0 is not the same as disabling, but rather all ICMP traffic must be dropped."
HP-ICF-RATE-LIMIT-MIB,1.3.6.1.4.1.11.2.14.10.2.14.1.1.1.1.1.4,hpICMPRateLimitPortAlarmFlag,INTEGER,READ-WRITE,"This object indicates whether ICMP rate limiting alarm has been sent. When an alarm is sent, this object is set to set(2). Once a management station changes this object to clear(1), an alarm can be sent again for this port."
HP-ICF-RATE-LIMIT-MIB,1.3.6.1.4.1.11.2.14.10.2.14.1.1.2,hpICMPRateLimitNotifyPortIndex,INTEGER32,ACCESSIBLE-FOR-NOTIFY,"The interface index associated with hpICMPRateLimitPortNotification event."
HP-ICF-RATE-LIMIT-MIB,1.3.6.1.4.1.11.2.14.10.2.14.1.2,hpicfBWMinEgressObjects,"OBJECT IDENTIFIER",ACCESSIBLE-FOR-NOTIFY,
HP-ICF-RATE-LIMIT-MIB,1.3.6.1.4.1.11.2.14.10.2.14.1.2.1,hpBWMinEgressPortConfig,"OBJECT IDENTIFIER",ACCESSIBLE-FOR-NOTIFY,
