"Name","Full Name","OID","Type","Access","Indexes","MIB Module","Description"
"sharedServices",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices",".1.3.6.1.4.1.4329.2.45",,,"","SharedServices-MIB",""
"nodeGroup",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup",".1.3.6.1.4.1.4329.2.45.1",,,"","SharedServices-MIB",""
"numberOfNodeEntries",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.numberOfNodeEntries",".1.3.6.1.4.1.4329.2.45.1.1","INTEGER","read-only","","SharedServices-MIB","The number of entries in the node table."
"numberOfNodeTraps",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.numberOfNodeTraps",".1.3.6.1.4.1.4329.2.45.1.2","INTEGER","read-only","","SharedServices-MIB","The number of traps which were sent to signal status changes of the nodes."
"nodeTable",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.nodeTable",".1.3.6.1.4.1.4329.2.45.1.3","SEQUENCE OF NodeTableEntry","accessible-for-notify","","SharedServices-MIB","This table shows the contents of node entries. A node is a physical machine hosting one or more containers."
"nodeTableEntry",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.nodeTable.nodeTableEntry",".1.3.6.1.4.1.4329.2.45.1.3.1","NodeTableEntry","not-accessible","nodeGuid","SharedServices-MIB","The node table entries."
"nodeGuid",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.nodeTable.nodeTableEntry.nodeGuid",".1.3.6.1.4.1.4329.2.45.1.3.1.1","OCTET STRING","read-only","","SharedServices-MIB","The unique identifier of the node."
"nodeDisplayName",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.nodeTable.nodeTableEntry.nodeDisplayName",".1.3.6.1.4.1.4329.2.45.1.3.1.2","OCTET STRING","read-only","","SharedServices-MIB","The nodename."
"nodeIpAddress",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.nodeTable.nodeTableEntry.nodeIpAddress",".1.3.6.1.4.1.4329.2.45.1.3.1.3","OCTET STRING","read-only","","SharedServices-MIB","The ip address of the node."
"nodeDescription",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.nodeTable.nodeTableEntry.nodeDescription",".1.3.6.1.4.1.4329.2.45.1.3.1.4","OCTET STRING","read-only","","SharedServices-MIB","A description of the node."
"nodeContact",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.nodeTable.nodeTableEntry.nodeContact",".1.3.6.1.4.1.4329.2.45.1.3.1.5","OCTET STRING","read-only","","SharedServices-MIB","The responsible administrator."
"nodeLocation",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.nodeTable.nodeTableEntry.nodeLocation",".1.3.6.1.4.1.4329.2.45.1.3.1.6","OCTET STRING","read-only","","SharedServices-MIB","The location of the node."
"nodeStatus",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.nodeTable.nodeTableEntry.nodeStatus",".1.3.6.1.4.1.4329.2.45.1.3.1.7","OCTET STRING","read-only","","SharedServices-MIB","The status of the node. Possible values are:normal, warning, critical."
"nodeArchitecture",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.nodeTable.nodeTableEntry.nodeArchitecture",".1.3.6.1.4.1.4329.2.45.1.3.1.8","OCTET STRING","read-only","","SharedServices-MIB","The architecture of the node, e.g. x86, sunUltra, ..."
"nodeOsName",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.nodeTable.nodeTableEntry.nodeOsName",".1.3.6.1.4.1.4329.2.45.1.3.1.9","OCTET STRING","read-only","","SharedServices-MIB","The name of the operating system, e.g. Windows, Linux, ..."
"nodeOsVersion",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.nodeTable.nodeTableEntry.nodeOsVersion",".1.3.6.1.4.1.4329.2.45.1.3.1.10","OCTET STRING","read-only","","SharedServices-MIB","The version of the operating system."
"nodeSnmpAgentVersion",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.nodeTable.nodeTableEntry.nodeSnmpAgentVersion",".1.3.6.1.4.1.4329.2.45.1.3.1.11","OCTET STRING","read-only","","SharedServices-MIB","The version of the SNMP agent."
"nodeMibVersion",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.nodeTable.nodeTableEntry.nodeMibVersion",".1.3.6.1.4.1.4329.2.45.1.3.1.12","OCTET STRING","read-only","","SharedServices-MIB","The version of the Management Information Base."
"nodeMgmtURL",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.nodeTable.nodeTableEntry.nodeMgmtURL",".1.3.6.1.4.1.4329.2.45.1.3.1.13","OCTET STRING","read-only","","SharedServices-MIB","Points to a page with gives access to the configuration manager of the node if available."
"nodeDocURL",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.nodeTable.nodeTableEntry.nodeDocURL",".1.3.6.1.4.1.4329.2.45.1.3.1.14","OCTET STRING","read-only","","SharedServices-MIB","Points to the documentation."
"nodeIconURL",".iso.org.dod.internet.private.enterprises.siemens.com.sharedServices.nodeGroup.nodeTable.nodeTableEntry.nodeIconURL",".1.3.6.1.4.1.4329.2.45.1.3.1.15","OCTET STRING","read-only","","SharedServices-MIB","Points to a file, which describes the location of the shape and the pixmaps for the icons to be used to display the node on the desktop map."
