HP-ICF-RIP,1.3.6.1.4.1.11.2.14.11.5.1.13,hpicfRip,""200305130217Z" -- MAY 13, 2003",NOT-ACCESSIBLE,"Hewlett-Packard Company 8000 Foothills Blvd. Roseville, CA 95747"
HP-ICF-RIP,1.3.6.1.4.1.11.2.14.11.5.1.13.1,hpicfRipObjects,"OBJECT IDENTIFIER",NOT-ACCESSIBLE,
HP-ICF-RIP,1.3.6.1.4.1.11.2.14.11.5.1.13.1.1,hpicfRipGeneral,"OBJECT IDENTIFIER",NOT-ACCESSIBLE,
HP-ICF-RIP,1.3.6.1.4.1.11.2.14.11.5.1.13.1.1.1,hpicfRipAdminStatus,INTEGER,READ-WRITE,"The operational status of the RIP routing protocol."
HP-ICF-RIP,1.3.6.1.4.1.11.2.14.11.5.1.13.1.1.2,hpicfRipDefaultMetric,INTEGER,READ-WRITE,"Default metric value for routes redistributed to RIP."
HP-ICF-RIP,1.3.6.1.4.1.11.2.14.11.5.1.13.1.1.3,hpicfRipAutoSummary,INTEGER,READ-WRITE,"A flag indicating whether RIP should perform border filtering on subnet routes when crossing a network boundary. Interfaces that are configured for RIPv1 or RIPv1-compatible mode must always filter subnets at network boundaries. Interfaces configured for RIPv2 mode will only filter subnets if this flag is set to 'true'. Setting this to 'true' will result in all subnets within a class-based network to be summarized using a single route for the subnet number, which can decrease the size of the routing tables. However, if any networks are discontiguous, this flag should be set to 'false' for proper routing."
HP-ICF-RIP,1.3.6.1.4.1.11.2.14.11.5.1.13.1.1.4,hpicfRipDistance,INTEGER32,READ-WRITE,"The administrative distance to associate with routes learned by RIP. Routes with lower distances are preferred. By default, RIP routes have an administrative distance of 120."
HP-ICF-RIP,1.3.6.1.4.1.11.2.14.11.5.1.13.1.2,hpicfRipIfConfTable,"SEQUENCE OF HPICFIFCONFENTRY",NOT-ACCESSIBLE,"HP extensions to the rip2IfConfTable."
HP-ICF-RIP,1.3.6.1.4.1.11.2.14.11.5.1.13.1.2.1,hpicfRipIfConfEntry,SEQUENCE,NOT-ACCESSIBLE,"HP extensions for a single RIP interface."
HP-ICF-RIP,1.3.6.1.4.1.11.2.14.11.5.1.13.1.2.1.1,hpicfRipIfConfDoPoison,INTEGER,READ-CREATE,"Flag indicating if router should perform poison reverse on this interface."
HP-ICF-RIP,1.3.6.1.4.1.11.2.14.11.5.1.13.1.2.1.2,hpicfRipIfConfCost,INTEGER32,READ-CREATE,"RIP metric for this interface."
HP-ICF-RIP,1.3.6.1.4.1.11.2.14.11.5.1.13.1.3,hpicfRipRedistTable,"SEQUENCE OF HPICFRIPREDISTENTRY",NOT-ACCESSIBLE,"Table for configuring route redistribution into RIP."
HP-ICF-RIP,1.3.6.1.4.1.11.2.14.11.5.1.13.1.3.1,hpicfRipRedistEntry,SEQUENCE,NOT-ACCESSIBLE,"An entry in the table for configuring route redistribution into RIP from a single source protocol. Entries in this table are not created dynamically. There will be a single entry for each supported source protocol."
