# SUPERMICRO-HEALTH-MIB list of identifiers (generated by smidump 0.2.16)

SUPERMICRO-HEALTH-MIB SMHealthInfoTypes        
SUPERMICRO-HEALTH-MIB smHealthMIB               1.3.6.1.4.1.10876.2.1
SUPERMICRO-HEALTH-MIB smHealthObjects           1.3.6.1.4.1.10876.2.1.1
SUPERMICRO-HEALTH-MIB smHealthMonitorTable      1.3.6.1.4.1.10876.2.1.1.1
SUPERMICRO-HEALTH-MIB smHealthMonitorEntry      1.3.6.1.4.1.10876.2.1.1.1.1
SUPERMICRO-HEALTH-MIB smHealthMonitorIndex      1.3.6.1.4.1.10876.2.1.1.1.1.1
SUPERMICRO-HEALTH-MIB smHealthMonitorName       1.3.6.1.4.1.10876.2.1.1.1.1.2
SUPERMICRO-HEALTH-MIB smHealthMonitorType       1.3.6.1.4.1.10876.2.1.1.1.1.3
SUPERMICRO-HEALTH-MIB smHealthMonitorReading    1.3.6.1.4.1.10876.2.1.1.1.1.4
SUPERMICRO-HEALTH-MIB smHealthMonitorHighLimit  1.3.6.1.4.1.10876.2.1.1.1.1.5
SUPERMICRO-HEALTH-MIB smHealthMonitorLowLimit   1.3.6.1.4.1.10876.2.1.1.1.1.6
SUPERMICRO-HEALTH-MIB smHealthMonitorMaxReading 1.3.6.1.4.1.10876.2.1.1.1.1.7
SUPERMICRO-HEALTH-MIB smHealthMonitorMinReading 1.3.6.1.4.1.10876.2.1.1.1.1.8
SUPERMICRO-HEALTH-MIB smHealthMonitorDivisor    1.3.6.1.4.1.10876.2.1.1.1.1.9
SUPERMICRO-HEALTH-MIB smHealthMonitorMonitor    1.3.6.1.4.1.10876.2.1.1.1.1.10
SUPERMICRO-HEALTH-MIB smHealthNotifications     1.3.6.1.4.1.10876.2.1.2
SUPERMICRO-HEALTH-MIB smHealthConformance       1.3.6.1.4.1.10876.2.1.3
SUPERMICRO-HEALTH-MIB smHealthCompliances       1.3.6.1.4.1.10876.2.1.3.1
SUPERMICRO-HEALTH-MIB smHealthCompliance        1.3.6.1.4.1.10876.2.1.3.1.1
SUPERMICRO-HEALTH-MIB smHealthGroups            1.3.6.1.4.1.10876.2.1.3.2
SUPERMICRO-HEALTH-MIB smHealthMonitorGroup      1.3.6.1.4.1.10876.2.1.3.2.1
